variable,label
CHILDREN,"Persentase Populasi Balita (CHILDREN)"
FEMALE,"Persentase Populasi Perempuan (FEMALE)"
ELDERLY,"Persentase Populasi Lansia ≥65 tahun (ELDERLY)"
FHEAD,"Persentase Rumah Tangga Kepala Keluarga Perempuan (FHEAD)"
FAMILYSIZE,"Rata-rata Jumlah Anggota Rumah Tangga (FAMILYSIZE)"
NOELECTRIC,"Persentase Rumah Tangga Tanpa Listrik (NOELECTRIC)"
LOWEDU,"Persentase Populasi Berpendidikan Rendah (LOWEDU)"
GROWTH,"Persentase Pertumbuhan Populasi (GROWTH)"
POVERTY,"Persentase Penduduk Miskin (POVERTY)"
ILLITERATE,"Persentase Populasi Buta Huruf (ILLITERATE)"
NOTRAINING,"Persentase RT Tanpa Pelatihan Bencana (NOTRAINING)"
DPRONE,"Persentase RT di Area Rawan Bencana (DPRONE)"
RENTED,"Persentase Rumah Tangga Menyewa (RENTED)"
NOSEWER,"Persentase RT Tanpa Sistem Drainase (NOSEWER)"
TAPWATER,"Persentase RT Menggunakan Air Ledeng (TAPWATER)"
POPULATION,"Jumlah Total Populasi (POPULATION)"
DISTRICTCODE,"Kode Wilayah (DISTRICTCODE)"
region,"Wilayah Regional"
island,"Kelompok Pulau"
province,"Provinsi"
